timestamp,open,highest,lowest,close,volume
1618183200000,59955.05,59977.29,59950,59955.96,9.716274
1618183260000,59955.96,59996,59922.08,59990,22.271955
1618183320000,59989.99,60058.01,59961.22,60023.07,35.432647
1618183380000,60023.07,60051.45,59952.5,59999.31,64.879144
1618183440000,59999.31,60021.65,59969.4,59975.79,34.525829
1618183500000,59975.78,59975.78,59916.91,59935.03,21.693415
1618183560000,59935.03,59941.46,59880,59905.23,39.560118
1618183620000,59905.23,59915.42,59885.02,59885.88,16.541153
1618183680000,59885.88,59935.14,59881.61,59920.98,13.558245
1618183740000,59920.98,59946.17,59901.57,59941.28,21.870233
1618183800000,59941.28,59958.5,59890.24,59899.05,21.212384
1618183860000,59899.05,59914.99,59860.65,59903.65,16.380299
1618183920000,59903.64,59914.09,59888.52,59908.16,16.225805
1618183980000,59908.17,59908.17,59810,59835,50.996935
1618184040000,59835,59877.5,59821.98,59877.5,19.516756
1618184100000,59878.22,59916,59878.22,59898.67,28.155176
1618184160000,59898.67,59903.93,59877.73,59893.92,28.75969
1618184220000,59893.92,59987.28,59879.48,59961.53,30.945266
1618184280000,59961.53,59999.99,59957,59994.89,39.757571
1618184340000,59994.89,59994.89,59964.76,59984.31,10.776308
1618184400000,59984.3,59984.31,59944.91,59975.66,24.74455
1618184460000,59975.66,60015,59935.39,60009.04,23.502241
1618184520000,60009.03,60020,59976.27,60019.99,33.202705
1618184580000,60020,60047.43,60013.26,60036.97,23.005663
1618184640000,60036.97,60048,59946.49,59946.49,42.578305
1618184700000,59946.49,60014.76,59946.49,59977.06,26.532786
1618184760000,59977.05,60057.96,59976.03,60014.41,33.065055
1618184820000,60014.41,60014.42,59916.34,59958.64,32.830393
1618184880000,59958.64,59988.25,59932.8,59944.08,18.653128
1618184940000,59944.07,59994.29,59944.05,59991.99,12.494205
1618185000000,59991.99,59992,59951.31,59991.93,18.325445
1618185060000,59991.93,60016,59957,59963.59,19.86729
1618185120000,59963.59,59999.14,59952.51,59983.04,27.331712
1618185180000,59984.92,60018.6,59981.16,60011.87,15.40699
1618185240000,60011.87,60049.99,60009.25,60049.97,30.870044
1618185300000,60049.97,60050.1,60026.92,60048.2,17.299467
1618185360000,60048.21,60055.93,60028,60028.01,16.853431
1618185420000,60028,60036.07,60017.96,60021,17.705026
1618185480000,60020.99,60024.48,60016.98,60017.21,10.987083
1618185540000,60017.21,60017.21,59760,60002.43,84.197223
1618185600000,59998.8,60170,59998.8,60160,113.798566
1618185660000,60160,60355,60157.23,60340.16,139.455838
1618185720000,60340.16,60350.83,60220,60283.73,78.467545
1618185780000,60288.02,60297.61,60202,60248.52,36.840724
1618185840000,60248.52,60300,60248.51,60263.09,40.715593
1618185900000,60267.64,60283.95,60243.11,60268.75,30.087301
1618185960000,60268.75,60268.76,60010.51,60094.65,50.69784
1618186020000,60094.66,60112.36,59982.62,60039.32,48.655668
1618186080000,60039.32,60092.07,59968.37,59983.41,36.38972
1618186140000,59983.4,60003.91,59925.75,59925.76,43.230884
1618186200000,59925.75,59973.06,59916.57,59965.78,34.386727
1618186260000,59965.76,59967.21,59923.21,59966.69,24.099316
1618186320000,59966.69,59966.69,59844.25,59859.88,36.412506
1618186380000,59859.87,59866.62,59837.64,59852.39,23.403653
1618186440000,59852.39,59886.52,59852.38,59875.68,28.90569
1618186500000,59875.68,59932.83,59860,59926.6,29.070027
1618186560000,59926.6,59930.69,59802.66,59810.28,41.236842
1618186620000,59813.92,59878.19,59809.14,59854.59,29.874918
1618186680000,59854.58,59857.61,59814.11,59842.05,13.343945
1618186740000,59842.05,60029,59813.99,59823.1,62.068509
1618186800000,59823.1,59825.86,59607.84,59625.35,79.441407
1618186860000,59625.35,59718.27,59625.34,59692.81,57.242617
1618186920000,59692.8,59741.01,59692.8,59723.53,26.736164
1618186980000,59720.85,59723.53,59691.12,59711.74,23.586279
1618187040000,59711.74,59730.98,59696.54,59719.06,24.204674
1618187100000,59719.06,59729.31,59683.31,59683.31,20.498603
1618187160000,59683.31,59683.31,59622.04,59666.79,45.653421
1618187220000,59666.8,59681.52,59605,59624.1,20.431051
1618187280000,59624.1,59681.46,59611.43,59650.4,23.954027
1618187340000,59650.4,59677.8,59644,59670.6,26.465562
1618187400000,59669.45,59736.18,59669.45,59736.17,24.81995
1618187460000,59736.17,59736.18,59689.78,59701.04,14.63733
1618187520000,59701.04,59701.05,59660.47,59660.48,34.023246
1618187580000,59660.47,59708.86,59658.23,59704.07,16.29931
1618187640000,59704.07,59729.27,59704.06,59724.99,12.977242
1618187700000,59724.99,59734.8,59716.19,59720.21,12.328901
1618187760000,59720.22,59753.09,59719.99,59753.08,14.261745
1618187820000,59753.08,59782.44,59750.02,59779.68,21.09851
1618187880000,59781.32,59789.47,59756,59775.94,17.487909
1618187940000,59775.95,59833.66,59775.94,59817.55,25.351053
1618188000000,59817.56,59850.28,59779.07,59850.27,18.820503
1618188060000,59850.28,59865.49,59788.39,59788.39,21.071466
1618188120000,59788.39,59812.5,59788.39,59798.58,7.87147
1618188180000,59798.57,59808.6,59771.26,59771.27,13.754827
1618188240000,59771.27,59773.22,59729.73,59762.6,21.357434
1618188300000,59762.6,59769.24,59750.06,59769.23,16.328831
1618188360000,59769.23,59788.51,59762.25,59774.29,16.39259
1618188420000,59774.29,59801.67,59770.6,59786.81,13.027926
1618188480000,59786.81,59798.35,59740.12,59754.67,18.782503
1618188540000,59754.67,59770.6,59736.59,59743.46,9.723822
1618188600000,59743.46,59755.03,59743.46,59750.18,7.056211
1618188660000,59750.2,59768.57,59750.2,59768.56,12.863636
1618188720000,59768.56,59777.01,59762.04,59762.04,20.241386
1618188780000,59762.05,59762.05,59755.07,59762.04,10.854339
1618188840000,59762.04,59854.73,59762.04,59832.69,18.045564
1618188900000,59832.69,59839.81,59780,59780.01,14.715213
1618188960000,59780.01,59799.18,59743.76,59778.17,35.605487
1618189020000,59778.17,59835.35,59772.82,59820.09,17.255687
1618189080000,59820.09,59853.11,59800,59800.01,25.324304
1618189140000,59800,59830.29,59766.87,59830.28,23.27714
1618189200000,59830.28,59858.7,59820.19,59836.52,36.779449
1618189260000,59836.52,59871.42,59830.41,59863.5,16.580672
1618189320000,59863.5,59863.5,59800,59834.76,18.785764
1618189380000,59834.77,59857.48,59834.76,59851.66,13.32643
1618189440000,59851.66,59868.27,59818.32,59820.91,13.644274
1618189500000,59823.04,59856.81,59818.33,59848.16,30.28216
1618189560000,59848.15,59848.8,59845.17,59848.79,13.480168
1618189620000,59848.79,59882.91,59848.79,59875.42,24.676788
1618189680000,59875.41,59924.32,59875.41,59924.31,45.442871
1618189740000,59924.31,59926.38,59888.82,59912.16,35.925023
1618189800000,59912.16,59950.99,59910.03,59950.98,21.414006
1618189860000,59950.98,59984.67,59913.18,59947.27,31.328883
1618189920000,59947.28,59953.63,59910.01,59916.48,30.722663
1618189980000,59916.48,59978.34,59903.18,59967.7,22.239311
1618190040000,59967.7,59984.46,59959.74,59979.13,20.17961
1618190100000,59979.13,60018.5,59968.39,60018.49,26.944551
1618190160000,60018.49,60058.39,59986.95,60009.11,41.070993
1618190220000,60009.12,60078.93,60007.82,60075.47,37.900277
1618190280000,60075.48,60147.9,60068.14,60117.22,49.719885
1618190340000,60117.22,60142.26,60011.56,60023.82,73.053669
1618190400000,60023.81,60077.29,60021.28,60026.78,45.476558
1618190460000,60026.78,60099.55,60026.45,60096.04,16.269409
1618190520000,60096.04,60100,60027.63,60039.75,26.305616
1618190580000,60039.75,60086.93,60009.26,60009.26,32.068432
1618190640000,60009.26,60023.08,59954.9,59960.34,31.77091
1618190700000,59960.35,60006.19,59927.5,59949.41,39.861493
1618190760000,59949.42,59989,59900.01,59914.91,24.564642
1618190820000,59914.91,59927.32,59880.34,59883.85,23.701259
1618190880000,59883.85,59886.71,59854.44,59868.98,21.303255
1618190940000,59868.99,59919.51,59858.57,59862.94,19.717503
1618191000000,59862.94,59886.87,59827.9,59858.59,33.242406
1618191060000,59858.59,59907.8,59849.01,59877.66,21.583969
1618191120000,59873.3,59898.57,59839.8,59897.24,14.352086
1618191180000,59897.24,59943.3,59897.24,59938.8,12.114441
1618191240000,59938.8,59947.35,59934.39,59943.75,19.486633
1618191300000,59943.76,59988,59937.41,59942.98,19.514287
1618191360000,59942.98,59979.99,59937.38,59979.99,15.353909
1618191420000,59979.99,59984.85,59884.12,59906.92,28.591403
1618191480000,59906.92,59932.91,59898.62,59925.32,23.640505
1618191540000,59925.33,59950,59908.93,59940.16,43.343162
1618191600000,59940.16,59949.08,59900,59900.01,14.540589
1618191660000,59900,59929.02,59900,59919.93,21.833657
1618191720000,59919.93,59926.52,59910,59915.4,13.760596
1618191780000,59915.4,59929.58,59890.21,59897.64,23.725955
1618191840000,59897.64,59911.69,59890.96,59899.32,19.911499
1618191900000,59899.32,59919.51,59890,59908.54,16.732518
1618191960000,59908.54,59942.89,59899.99,59919.01,36.699875
1618192020000,59919,59933.09,59900.01,59909.93,10.059046
1618192080000,59909.93,59946.76,59909.93,59924.78,14.720758
1618192140000,59924.78,59947.99,59922.7,59931.27,16.020884
1618192200000,59931.26,59973.18,59931.26,59960.33,10.908553
1618192260000,59960.32,60000,59960.32,59980.36,23.007142
1618192320000,59980.36,59980.37,59948.3,59960.5,13.462394
1618192380000,59960.5,59980.37,59955.63,59967.27,23.871347
1618192440000,59967.27,59967.27,59927.67,59947.4,17.911275
1618192500000,59947.4,59947.41,59900,59926.71,15.34328
1618192560000,59921.92,59967.18,59879.33,59932.92,56.248517
1618192620000,59932.92,59932.92,59879.33,59892.43,18.167638
1618192680000,59892.83,59900.92,59826.1,59839.71,24.573069
1618192740000,59839.72,59867.39,59820.6,59865.36,14.038507
1618192800000,59865.36,59865.37,59825.96,59840.08,20.490471
1618192860000,59840.07,59840.08,59804.15,59819.52,16.883431
1618192920000,59819.51,59866.73,59812.66,59830.42,26.656459
1618192980000,59830.43,59863.96,59821.67,59863.95,12.671951
1618193040000,59863.95,59922.88,59852.51,59887.61,24.505848
1618193100000,59887.61,59899.98,59858.39,59873.03,15.381337
1618193160000,59873.02,59873.03,59785,59793.4,44.87197
1618193220000,59793.41,59854.05,59763.91,59827.36,31.570791
1618193280000,59827.36,59851.07,59816.18,59835.89,26.298621
1618193340000,59835.89,59850,59765.79,59765.93,23.058125
1618193400000,59765.92,59805.6,59765.92,59792.49,21.252593
1618193460000,59792.54,59804.51,59759.74,59767.73,22.134446
1618193520000,59767.74,59787.18,59756.29,59776.9,17.436851
1618193580000,59776.9,59839.91,59776.9,59821.66,13.899574
1618193640000,59821.66,59834.32,59801.01,59812.16,14.976614
1618193700000,59812.16,59850.49,59812.16,59847.94,13.154411
1618193760000,59847.95,59851.06,59832.93,59847.93,12.612418
1618193820000,59847.37,59847.37,59828.58,59834.85,19.242836
1618193880000,59834.86,59843,59814.99,59823.91,12.974767
1618193940000,59823.91,59867.95,59818.18,59860.81,14.616704
1618194000000,59860.81,59863.79,59813.42,59823.44,15.831971
1618194060000,59823.44,59849.99,59820.77,59846.44,11.128257
1618194120000,59846.44,59859.88,59816.27,59830.42,16.420577
1618194180000,59825.12,59830.4,59802.04,59818.94,22.09816
1618194240000,59818.95,59843.75,59818.94,59833.78,11.663169
1618194300000,59833.78,59844.85,59801.01,59813.72,24.02444
1618194360000,59813.73,59813.74,59801.01,59805.87,11.279737
1618194420000,59805.87,59844.66,59801.02,59837.36,15.938454
1618194480000,59837.37,59840,59805.87,59811.71,19.213701
1618194540000,59811.72,59833.72,59779.89,59779.9,19.674186
1618194600000,59779.89,59821.33,59779.89,59818.17,20.456874
1618194660000,59818.17,59859.56,59806.71,59840.75,32.425555
1618194720000,59840.74,59840.75,59808.13,59836.03,20.243722
1618194780000,59836.03,59862.64,59819.16,59829.95,19.434655
1618194840000,59829.95,59829.96,59787.33,59792.7,23.048548
1618194900000,59792.69,59792.7,59754.69,59765.12,24.63217
1618194960000,59762.12,59762.12,59734.51,59750,32.561577
1618195020000,59750,59768.12,59750,59750,25.446611
1618195080000,59750.01,59750.01,59724.01,59741.08,42.155618
1618195140000,59741.08,59761.28,59739,59754.51,15.821326
1618195200000,59754.51,59772,59743.12,59744.41,13.899735
1618195260000,59744.4,59785.89,59724.01,59729.96,25.180621
1618195320000,59729.97,59732.01,59723.5,59730.93,13.476607
1618195380000,59730.93,59756.76,59721.85,59741.99,14.34595
1618195440000,59742,59742,59713.9,59713.9,19.874424
1618195500000,59713.16,59733.02,59710,59722.02,25.85348
1618195560000,59722.02,59764.54,59719.04,59721.87,26.108908
1618195620000,59721.87,59726.15,59680,59680.4,25.3896
1618195680000,59680.4,59682.89,59607.6,59618.18,30.878625
1618195740000,59618.18,59649.84,59610.01,59643.93,19.983263
1618195800000,59643.93,59680,59629.58,59642.87,20.97711
1618195860000,59642.87,59660.72,59586.01,59660.71,60.122011
1618195920000,59660.72,59696.41,59654.19,59662.07,26.744639
1618195980000,59662.07,59682.89,59648.41,59682.88,23.061976
1618196040000,59682.88,59713.32,59680.12,59694,18.585744
1618196100000,59694,59703.64,59670.57,59681.74,12.659106
1618196160000,59681.74,59687.46,59668,59675.67,13.44881
1618196220000,59675.33,59688.35,59668,59668,14.711377
1618196280000,59668,59694.68,59668,59685.6,20.836129
1618196340000,59685.6,59694.26,59671.01,59694.25,13.811804
1618196400000,59694.26,59698.9,59665,59665.04,39.069997
1618196460000,59665.05,59689.56,59665.05,59687.05,14.936577
1618196520000,59687.05,59760.57,59682.07,59740.11,32.469597
1618196580000,59740.11,59771.65,59734.57,59749.29,23.887689
1618196640000,59749.28,59755.32,59727.74,59741.07,15.129105
1618196700000,59741.07,59764.94,59735.27,59749.99,34.693318
1618196760000,59749.99,59790.77,59749.99,59777.14,19.483568
1618196820000,59777.14,59777.14,59760.94,59760.99,11.506514
1618196880000,59760.99,59774.38,59751.57,59766.08,12.148664
1618196940000,59766.08,59801.16,59766.08,59797.01,29.952471
1618197000000,59797.01,59804.69,59772.1,59777.33,31.473221
1618197060000,59777.33,59806.95,59772.11,59806.95,12.278367
1618197120000,59806.95,59814.81,59806.94,59814.81,11.182107
1618197180000,59814.81,59825.76,59798.06,59805.23,21.804569
1618197240000,59805.23,59813.26,59786.6,59798.62,14.83355
1618197300000,59798.61,59829.95,59784.82,59826.95,20.238074
1618197360000,59826.94,59841.1,59815.01,59827.56,20.900039
1618197420000,59827.56,59831.9,59805.19,59809.2,21.072272
1618197480000,59809.2,59830.94,59809.2,59812.6,11.624226
1618197540000,59812.59,59812.62,59780.21,59786.17,16.157362
1618197600000,59786.16,59822.87,59786.16,59821.61,19.313337
1618197660000,59821.61,59830.94,59808.01,59811.03,20.365826
1618197720000,59811.03,59840.42,59807.99,59817.06,31.537682
1618197780000,59821.31,59839.91,59804.18,59811.69,24.595688
1618197840000,59811.69,59854.94,59811.68,59838.43,27.459702
1618197900000,59838.42,59849.29,59819.89,59827.39,19.480126
1618197960000,59827.4,59837.4,59802.9,59807.2,19.169023
1618198020000,59807.2,59823.14,59791.8,59813.62,21.851298
1618198080000,59813.62,59880.38,59813.62,59875.92,24.640195
1618198140000,59875.92,59959.38,59874.62,59956.06,52.52716
1618198200000,59956.06,59965.13,59938.87,59960.24,21.420861
1618198260000,59960.24,60050,59960.24,60049.99,38.984732
1618198320000,60050,60055.02,59962.09,59975.86,55.570467
1618198380000,59975.86,60051.12,59975.85,60026.95,60.009879
1618198440000,60026.96,60056.46,60000.03,60025.74,45.917853
1618198500000,60023.97,60025.74,59950,59950,31.810895
1618198560000,59950,59985,59940.43,59965.29,15.374032
1618198620000,59965.29,59970.94,59947.73,59949.82,14.541343
1618198680000,59949.81,59955,59949.81,59955,12.600013
1618198740000,59954.99,60029.95,59954.99,60020,26.608852
1618198800000,60020.01,60084.62,60020,60080,30.837958
1618198860000,60080,60100,60069.73,60100,69.639632
1618198920000,60100,60212.53,60099.99,60207.92,125.603383
1618198980000,60207.93,60250,60156.61,60237.9,72.2965
1618199040000,60238.94,60320,60203.18,60315.38,88.143278
1618199100000,60315.38,60319.78,60177.82,60203.24,70.75308
1618199160000,60203.22,60257.21,60193.22,60200,44.508992
1618199220000,60200,60200,60140.4,60148.21,35.676066
